code,purpose,zone,max_size,notes
MH16B01,DEVICE,WIP,SMALL,NEEDS TIDYING
MH16B02,DEVICE,WIP,SMALL,NEEDS TIDYING
MH16B03,DEVICE,WIP,SMALL,NEEDS TIDYING
MH16B04,DEVICE,WIP,SMALL,NEEDS TIDYING
MH16B05,DEVICE,WIP,SMALL,NEEDS TIDYING
MH16B06,DEVICE,WIP,SMALL,NEEDS TIDYING
MH18D01,DEVICE,FINISHED STOCK,LARGE,
MH18D02,DEVICE,CHECK IN,LARGE,
MH18D03,DEVICE,CHECK IN,LARGE,
MH18D04,DEVICE,CHECK IN,LARGE,
MH18D05,DEVICE,CHECK IN,LARGE,
MH18D06,DEVICE,CHECK IN,LARGE,
MH20D01,DEVICE,MISC,SMALL,
MH20D02,DEVICE,MISC,SMALL,
MH20D03,DEVICE,MISC,SMALL,
MH20D04,DEVICE,FINISHED STOCK,SMALL,
MH20D05,DEVICE,FINISHED STOCK,SMALL,
MH20D06,DEVICE,FINISHED STOCK,SMALL,
MI04E01,DEVICE,TOOLS/SUPPLIES,SMALL,
MI04E02,DEVICE,TOOLS/SUPPLIES,SMALL,
MI04E03,DEVICE,TOOLS/SUPPLIES,SMALL,
MI04E04,TOOLS,MISC,SMALL,TOOLS
MI04E05,TOOLS,MISC,SMALL,TOOLS
MI04E06,TOOLS,MISC,SMALL,TOOLS
MI15E01,DEVICE,FINISHED STOCK,SMALL,damaged barcode - needs reprint
MI15E02,DEVICE,FINISHED STOCK,SMALL,
MI15E03,DEVICE,FINISHED STOCK,SMALL,
MI15E04,DEVICE,FINISHED STOCK,SMALL,
MI15E05,DEVICE,FINISHED STOCK,SMALL,
MI15E06,DEVICE,FINISHED STOCK,SMALL,
MI17B01,TOOLS,MISC,SMALL,TOOLS
MI17B02,TOOLS,MISC,SMALL,TOOLS
MI17B03,DEVICE,MISC,SMALL,
MI17B04,DEVICE,MISC,SMALL,
MI17B05,DEVICE,MISC,SMALL,
MI17B06,DEVICE,MISC,SMALL,
MI19C01,DEVICE,MISC,LARGE,
MI19C02,DEVICE,MISC,LARGE,
MI19C03,DEVICE,MISC,LARGE,CURRENTLY JUNK
MI19C04,DEVICE,MISC,LARGE,CURRENTLY JUNK
MI19C05,DEVICE,MISC,LARGE,CURRENTLY JUNK
MI19C06,DEVICE,MISC,LARGE,CURRENTLY JUNK
MI22C01,DEVICE,FINISHED STOCK,LARGE,
MI22C02,DEVICE,FINISHED STOCK,LARGE,
MI22C03,DEVICE,FINISHED STOCK,LARGE,
MI22C04,DEVICE,WIP,LARGE,
MI22C05,DEVICE,WIP,LARGE,
MI22C06,DEVICE,WIP,LARGE,
MJ19E01,DEVICE,PARTS,SMALL,
MJ19E02,DEVICE,PARTS,SMALL,
MJ19E03,DEVICE,PARTS,SMALL,
MJ19E04,DEVICE,FINISHED STOCK,SMALL,CURRENTLY JUNK
MJ19E05,DEVICE,FINISHED STOCK,SMALL,CURRENTLY JUNK
MJ19E06,DEVICE,FINISHED STOCK,SMALL,CURRENTLY JUNK
